Year,Tour_No,Winner,GT_wins,NAT_TT_wins,NAT_RR_wins,Worlds_RR_wins
2023,110,Jonas Vingegaard,1,0,0,0
2022,109,Jonas Vingegaard,0,0,0,0
2021,108,Tadej Pogacar,1,1,1,0
2020,107,Tadej Pogacar,0,1,1,0
2019,106,Egan Bernal,0,0,0,0
2018,105,Geraint Thomas,0,1,1,0
2017,104,Chris Froome,4,0,0,0
2016,103,Chris Froome,3,0,0,0
2015,102,Chris Froome,2,0,0,0
2014,101,Vincenzo Nibali,2,0,1,0
2013,100,Chris Froome,1,0,0,0
2012,99,Bradley Wiggins,0,2,1,0
2011,98,Cadel Evans,0,0,0,1
2010,97,Andy Schleck ,0,2,1,0
2009,96,Alberto Contador,3,1,0,0
2008,95,Carlos Sastre,0,0,0,0
2007,94,Alberto Contador,0,0,0,0
2006,93,Oscar Pereiro ,0,0,0,0
2005,92,Lance armstrong,6,0,1,1
2004,91,Lance armstrong,5,0,1,1
2003,90,Lance armstrong,4,0,1,1
2002,89,Lance armstrong,3,0,1,1
2001,88,Lance armstrong,2,0,1,1
2000,87,Lance armstrong,1,0,1,1
1999,86,Lance armstrong,0,0,1,1
1998,85,Marco Pantani,1,0,0,0
1997,84,Jan Ullrich,0,1,1,0
1996,83,Bjarne Riis ,0,1,3,0
1995,82,Miguel Indurain,6,0,1,0
1994,81,Miguel Indurain,5,0,1,0
1993,80,Miguel Indurain,4,0,1,0
1992,79,Miguel Indurain,2,0,1,0
1991,78,Miguel Indurain,0,0,0,0
1990,77,Greg LeMond,2,0,0,2
1989,76,Greg LeMond,1,0,0,2
1988,75,Pedro Delgado,1,0,0,0
1987,74,Stephen Roche,1,0,0,0
1986,73,Greg LeMond,0,0,0,1
1985,72,Bernard Hinault,9,0,1,1
1984,71,Laurent Fignon,1,0,1,0
1983,70,Laurent Fignon,0,0,0,0
1982,69,Bernard Hinault,5,0,1,1
1981,68,Bernard Hinault,4,0,1,1
1980,67,Joop Zoetemelk,1,0,2,0
1979,66,Bernard Hinault,2,0,1,0
1978,65,Bernard Hinault,0,0,1,0
1977,64,Bernard Thevenet,1,0,1,0
1976,63,Lucien Van Impe,0,0,0,0
1975,62,Bernard Thevenet,0,0,1,0
1974,61,Eddy Merckx,10,0,1,3
1973,60,Luis Ocana,1,0,2,0
1972,59,Eddy Merckx,6,0,1,2
1971,58,Eddy Merckx,4,0,1,1
1970,57,Eddy Merckx,3,0,1,1
1969,56,Eddy Merckx,1,0,0,1
1968,55,Jan Janssen,1,0,0,1
1967,54,Roger Pingeon,0,0,0,0
1966,53,Lucien Aimar,0,0,0,0
1965,52,Felice Gimondi,0,0,0,0
1964,51,Jacques Anquetil,6,0,0,0
1963,50,Jacques Anquetil,4,0,0,0
1962,49,Jacques Anquetil,3,0,0,0
1961,48,Jacques Anquetil,2,0,0,0
1960,47,Gastone Nencini,1,0,0,0
1959,46,Federico Bahamontes,0,1,1,0
1958,45,Charly Gaul,1,0,2,0
1957,44,Jacques Anquetil,0,0,0,0
1956,43,Roger Walkowiak,0,0,0,0
1955,42,Louison Bobet,2,0,2,1
1954,41,Louison Bobet,1,0,2,1
1953,40,Louison Bobet,0,0,2,0
1952,39,Fausto Coppi,4,0,3,0
1951,38,Hugo Koblet,1,0,1,0
1950,37,Ferdinand Kubler,0,0,3,0
1949,36,Fausto Coppi,3,0,3,0
1948,35,Gino Bartali,4,0,2,0
1947,34,Jean Robic,0,0,0,0
1939,33,Sylvere Maes,1,0,0,0
1938,32,Gino Bartali,2,0,1,0
1937,31,Roger Lapebie,0,0,1,0
1936,30,Sylvere Maes,0,0,0,0
1935,29,Romain Maes,0,0,0,0
1934,28,Antonin Magne,1,0,0,0
1933,27,Georges Speicher,0,0,0,1
1932,26,Andre Leducq,1,0,0,0
1931,25,Antonin Magne,0,0,0,0
1930,24,Andre Leducq,0,0,0,0
1929,23,Maurice De Waele,0,0,0,0
1928,22,Nicolas Frantz,1,0,6,0
1927,21,Nicolas Frantz,0,0,5,0
1926,20,Lucien Buysse,0,0,0,0
1925,19,Ottavio Bottecchia,1,0,0,0
1924,18,Ottavio Bottecchia,0,0,0,0
1923,17,Henri Pelissier,0,0,0,0
1922,16,Firmin Lambot,1,0,3,0
1921,15,Leon Scieur,0,0,2,0
1920,14,Philippe Thys,2,0,1,0
1919,13,Firmin Lambot,0,0,3,0
1914,12,Philippe Thys,1,0,0,0
1913,11,Philippe Thys,0,0,0,0
1912,10,Odile Defraye,0,0,1,0
1911,9,Gustave Garrigou,0,0,0,0
1910,8,Octave Lapize,0,0,0,0
1909,7,Francois Faber,0,0,0,0
1908,6,Lucien Petit-Breton,1,0,0,0
1907,5,Lucien Petit-Breton,0,0,0,0
1906,4,Rene Pottier,0,0,0,0
1905,3,Louis Trousselier,0,0,0,0
1904,2,Henri Cornet ,0,0,0,0
1903,1,Maurice Garin,0,0,0,0
